Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
26/01/2023,15.9,21.6,0,7.8,8.3,SSW,35,13:40,18.4,69,7,SSW,9,1015.7,21.2,56,6,SSW,15,1016.2
27/01/2023,13.5,26.8,0,7.2,13.4,S,24,16:49,17.1,59,1,E,9,1016.3,24.2,45,0,SSW,11,1012.9
28/01/2023,15.2,34.2,0,9.2,5.2,N,43,8:57,25.5,32,7,N,11,1007.8,33.6,18,8,NW,11,1006.7
29/01/2023,19.5,23.8,0.2,8,0,SSW,24,3:24,20.7,84,7, ,Calm,1012.7,22.1,77,7,SSW,11,1012.5
30/01/2023,17.9,21.7,0,3.2,2.2,S,33,15:47,18.3,71,8,S,9,1014.7,20.4,63,7,S,13,1012.2
31/01/2023,15.6,22.2,0,4.8,9.1,S,30,16:00,18.7,67,7,SE,7,1009.8,21.1,51,1,SSW,13,1007.5
1/02/2023,14.9,21,0,7.2,4,SSW,39,10:42,18.1,61,1,WSW,7,1006.7,18.2,65,7,SSW,13,1006.6
2/02/2023,14.2,21.3,0.2,4.4,5.6,NNW,56,13:11,15.6,47,7,NW,11,998.1,20.2,39,7,NNW,28,990.3
3/02/2023,11.4,18.8,11.2,7.2,5.7,WSW,41,15:42,13.4,61,4,NNW,20,993.2,17.7,44,6,SW,11,993.7
4/02/2023,11.7,20.7,6.6,4.8,6.6,SSW,31,12:35,14.8,86,7,WNW,11,1004,19.6,58,6,SSW,11,1008.3
5/02/2023,13.8,19.8,1.2,5.2,1.7,SSE,26,9:53,16.5,69,7,W,6,1017.4,19,59,7,S,7,1017.7
6/02/2023,16,20.9,0,4.2,7.5,SSW,28,17:42,16.8,75,7,W,9,1020.5,19.4,60,3,S,13,1020.2
7/02/2023,16.6,20.4,0,5.2,8,SSW,37,13:17,17.5,64,8,SSE,11,1020,19.8,60,3,SSW,15,1018.2
8/02/2023,15,22.2,0,5.8,11,S,33,16:28,17.6,64,3,S,7,1017.3,20.2,64,3,SSW,15,1014.8
9/02/2023,13.2,26.4,0.2,8.4,12.4,SSW,26,12:49,17.5,79,1,ENE,7,1010.9,25.1,56,1,SSW,13,1007.4
10/02/2023,16.2,26.7,0,6.6,10.2,SSW,28,16:02,19,85,, ,Calm,1007.3,24.3,61,3,SSW,15,1004.2
11/02/2023,15.8,25.7,0,6.8,12.5,SSW,41,13:40,20.2,79,1, ,Calm,1000.5,22.3,65,1,SSW,22,1001.9
12/02/2023,17.3,20.7,0,9.2,6.6,S,46,13:27,18.6,65,7,WSW,9,1010,19.9,47,5,S,17,1012.3
13/02/2023,15.8,20.9,0,7.6,8.2,SSW,37,15:02,17.1,55,7,SSE,13,1015.1,19.9,55,7,SSW,15,1014.3
14/02/2023,12,22.2,0,6,12.7,SSW,37,14:26,17.1,67,1,ESE,9,1015.7,21.2,52,1,SSW,17,1013.8
15/02/2023,12.6,32.4,0,8,10.7,N,31,9:13,17.2,71,5,NNE,7,1013.9,31.4,31,7,WNW,11,1011.1
16/02/2023,17.1,37.2,0,9.4,10.8,NNW,33,10:36,23.1,55,7,NE,9,1013.3,35.4,24,7,NNE,7,1010.3
17/02/2023,22.8,40.5,0,15.2,9.9,NNW,46,13:58,29.9,33,5,N,19,1010,39.6,16,2,NNW,22,1005.9
18/02/2023,17.4,24.9,0,12.6,8.2,SSW,31,16:47,18.1,68,7,SSW,9,1014.3,22.7,50,1,SSW,9,1015.2
19/02/2023,14.9,27.9,0,6.8,12.4,S,30,17:45,19.3,71,1,SE,4,1019,25.5,35,1,SSW,9,1017.5
20/02/2023,14.9,24,0,6,10.1,SSW,30,15:18,18.6,83,7, ,Calm,1020.3,23.4,60,1,SSW,11,1020.7
21/02/2023,17.7,22.2,0,6.2,6.9,SSE,39,15:40,18.3,70,8,SSE,13,1027.5,21.5,40,5,SSE,13,1027.8
22/02/2023,14.6,30.6,0,6.4,11.7,SSE,33,17:13,17.6,67,1, ,Calm,1024.8,27.3,44,3,SSW,13,1021.2
23/02/2023,17.5,32.4,0,10.8,12.1,N,44,8:11,21.6,45,4,N,22,1021.1,30.4,32,5,NNE,13,1018.7
24/02/2023,19.6,32.3,0,11.6,11.9,NNW,46,12:16,23.1,48,4,N,19,1017.6,30.6,30,7,N,22,1014.1
25/02/2023,22.2,26.7,0,15.4,1.1,N,28,5:48,25,37,7,N,17,1012.4,24.4,43,8,WSW,9,1012.1
26/02/2023,15.7,23.4,1.4,3.4,4.6,SSW,30,14:39,17.1,68,7, ,Calm,1012.5,22.2,54,6,S,9,1011.4
27/02/2023,16.3,20.2,2.6,4,0.2,SSW,33,12:31,17.9,77,7,S,13,1015.4,18.9,72,7,S,11,1015.9
28/02/2023,16.5,17.6,0.2,3.8,0,SSW,28,18:46,17.1,72,8,SSE,6,1013.1,16,97,7,SSW,9,1011.4
1/03/2023,14.3,21.1,3.2,2,4.4,SSW,28,10:36,14.9,94,7,W,7,1013.3,20.7,61,7,SSW,9,1013.2
2/03/2023,14.5,21.7,0.8,3.8,1.3,SSW,26,14:14,16.1,73,7,WSW,9,1014.8,21.2,59,7,SW,9,1014.3
